R behaviour p_val sample_size t1 t2 delta_t Key species_common species_latin measurements_per_ind sex context type_of_treatment treatment life_stage event R_se CI_lower CI_upper remarks max_lifespan_days
0.447** food_calling_foraging_behav 0.01 72 913.5 918.5 5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.150 food_calling_foraging_behav >0.05 72 914.5 918.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.219 food_calling_foraging_behav >0.05 72 915.5 918.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.343* food_calling_foraging_behav 0.05 72 916.5 918.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.336* food_calling_foraging_behav 0.05 72 917.5 918.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.220 food_calling_foraging_behav >0.05 72 913.5 919.5 6 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
)0.107 food_calling_foraging_behav >0.05 72 914.5 919.5 5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.100 food_calling_foraging_behav >0.05 72 915.5 919.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.133 food_calling_foraging_behav >0.05 72 916.5 919.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.222 food_calling_foraging_behav >0.05 72 917.5 919.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.120 food_calling_foraging_behav >0.05 72 918.5 919.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
)0.037 food_calling_foraging_behav >0.05 72 913.5 920.5 7 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.166 food_calling_foraging_behav >0.05 72 914.5 920.5 6 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.046 food_calling_foraging_behav >0.05 72 915.5 920.5 5 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.181 food_calling_foraging_behav >0.05 72 916.5 920.5 4 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.238 food_calling_foraging_behav >0.05 72 917.5 920.5 3 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.321 food_calling_foraging_behav >0.05 72 918.5 920.5 2 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
0.080 food_calling_foraging_behav >0.05 72 919.5 920.5 1 A2UNW3XN Golden_sebright_bantam_chicken Gallus_gallus_domesticus 2 0 1 0 NA adult NA NA NA NA "no se" 3650
