sex R CI_lower CI_upper p_val behaviour t1 t2 Key species_common species_latin sample_size measurements_per_ind context type_of_treatment treatment event R_se delta_t remarks max_lifespan_days life_stage
2 0.55 0.19 0.78 0.005 fearlessness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 maturation NA 325 NA 1825 adult
1 0.47 0.10 0.73 0.009 fearlessness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 maturation NA 325 NA 1825 adult
0 0.10 0 0.38 "> 0.05" exploration 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 maturation NA 325 NA 1825 adult
2 0.00 0 0.44 "> 0.05" exploration 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 maturation NA 325 NA 1825 adult
1 0.21 0 0.54 "> 0.05" exploration 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 maturation NA 325 NA 1825 adult
0 0.04 0 0.29 "> 0.05" boldness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 maturation NA 325 NA 1825 adult
2 0.00 0 0.39 "> 0.05" boldness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 maturation NA 325 NA 1825 adult
1 0.12 0 0.48 "> 0.05" boldness 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 maturation NA 325 NA 1825 adult
0 0.20 0 0.44 0.08 activity 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 maturation NA 325 NA 1825 adult
2 0.19 0 0.57 "> 0.05" activity 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 maturation NA 325 NA 1825 adult
1 0.22 0 0.55 "> 0.05" activity 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 maturation NA 325 NA 1825 adult
0 0.16 0 0.44 "> 0.05" aggression 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 52 2 1 0 0 maturation NA 325 NA 1825 adult
2 0.05 0 0.45 "> 0.05" aggression 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 22 2 1 0 0 maturation NA 325 NA 1825 adult
1 0.26 0 0.59 "> 0.05" aggression 56 381 3T3APIHX zebra_finch Taeniopygia_guttata 30 2 1 0 0 maturation NA 325 NA 1825 adult
